u,v,key,osmid,highway,junction,maxspeed,ref,oneway,reversed,length,name,lanes,width,bridge,access,service,geometry
1666976872,1567770481,0,154103188,cycleway,,,,False,True,5.247877422627107,,,,,,,"LINESTRING (2.0059023 41.3080036, 2.0058461 41.3079825)"
1666976877,1666976860,0,154103188,cycleway,,,,False,False,33.870422953173964,,,,,,,"LINESTRING (2.0074741 41.3066496, 2.0078389 41.3065166)"
1666976877,1666976862,0,154103188,cycleway,,,,False,True,84.78182830849329,,,,,,,"LINESTRING (2.0074741 41.3066496, 2.0067215 41.3071612)"
1666976890,1666976862,0,154103188,cycleway,,,,False,False,44.43289519912016,,,,,,,"LINESTRING (2.0063674 41.3074594, 2.0067215 41.3071612)"
1666976890,1666976870,0,154103188,cycleway,,,,False,True,19.38588139720136,,,,,,,"LINESTRING (2.0063674 41.3074594, 2.0062242 41.3075966)"
1666976894,9766954692,0,154103188,cycleway,,,,False,False,4.7512532651284225,,,,,,,"LINESTRING (2.0110897 41.3066335, 2.0111447 41.3066226)"
1666976894,576359605,0,154103188,cycleway,,,,False,True,62.291811385861955,,,,,,,"LINESTRING (2.0110897 41.3066335, 2.0103452 41.306601)"
1676387266,1676387274,0,204276837,cycleway,,,,False,False,90.88192451110716,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0195193 41.322799, 2.0202842 41.3222176)"
1676387266,7833896073,0,204276837,cycleway,,,,False,True,118.73105306146286,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0195193 41.322799, 2.0185175 41.3235567)"
1676387274,2195497119,0,204276837,cycleway,,,,False,False,106.17939270559712,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0202842 41.3222176, 2.0211759 41.3215369)"
1676387274,1676387266,0,204276837,cycleway,,,,False,True,90.88192451110716,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0202842 41.3222176, 2.0195193 41.322799)"
1693128073,7524554143,0,804466943,cycleway,,,,False,False,19.595751436575554,Passeig de la Marina,,,,,,"LINESTRING (2.0241768 41.315727, 2.0240089 41.3158501)"
1693128073,7524554163,0,804466943,cycleway,,,,False,True,12.671419044467065,Passeig de la Marina,,,,,,"LINESTRING (2.0241768 41.315727, 2.0242575 41.3156305)"
1693797759,7524446181,0,804452579,cycleway,,,,False,False,19.181761751468137,,1,,,,,"LINESTRING (2.0114772 41.3089998, 2.0114005 41.3088372)"
1763262439,11333513363,0,1222056728,cycleway,,,,True,False,4.900108944440275,Carretera de Barcelona,1,1,,,,"LINESTRING (2.0258516 41.3197839, 2.0259092 41.3197923)"
2142861584,7833896061,0,204276837,cycleway,,,,False,False,58.71804864629436,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0216343 41.321187, 2.0221284 41.3208113)"
2142861584,2195497119,0,204276837,cycleway,,,,False,True,54.581898415509905,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0216343 41.321187, 2.0211759 41.3215369)"
2142861651,7833896073,0,204276837,cycleway,,,,False,False,5.721930929239716,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0184692 41.3235932, 2.0185175 41.3235567)"
2187128539,11394245014,0,1228659163,cycleway,,,,False,False,2.8245576510444343,,,,,,,"LINESTRING (2.0152352 41.3239473, 2.015253 41.3239257)"
2187128539,11394245013,0,1228659163,cycleway,,,,False,True,2.9448136328659955,,,,,,,"LINESTRING (2.0152352 41.3239473, 2.0152166 41.3239698)"
2195497119,2142861584,0,204276837,cycleway,,,,False,False,54.581898415509905,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0211759 41.3215369, 2.0216343 41.321187)"
2195497119,1676387274,0,204276837,cycleway,,,,False,True,106.17939270559712,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0211759 41.3215369, 2.0202842 41.3222176)"
2209582609,2209582610,0,210931272,cycleway,,,,False,False,1.0279501309217958,,,,,,,"LINESTRING (2.0673444 41.2869268, 2.0673321 41.286927)"
2209582609,2209582611,0,210931272,cycleway,,,,False,True,0.9701185734492969,,,,,,,"LINESTRING (2.0673444 41.2869268, 2.0673556 41.2869291)"
2209582610,2209582612,0,210931272,cycleway,,,,False,False,0.9894321178340258,,,,,,,"LINESTRING (2.0673321 41.286927, 2.067321 41.2869301)"
2209582610,2209582609,0,210931272,cycleway,,,,False,True,1.0279501309217958,,,,,,,"LINESTRING (2.0673321 41.286927, 2.0673444 41.2869268)"
2209582611,2209582609,0,210931272,cycleway,,,,False,False,0.9701185734492969,,,,,,,"LINESTRING (2.0673556 41.2869291, 2.0673444 41.2869268)"
2209582611,2209582615,0,210931272,cycleway,,,,False,True,0.9565189195838095,,,,,,,"LINESTRING (2.0673556 41.2869291, 2.0673651 41.2869339)"
2209582612,2209582720,0,210931272,cycleway,,,,False,False,102.61685640747697,,,,,,,"LINESTRING (2.067321 41.2869301, 2.0662961 41.2874386)"
2209582612,2209582610,0,210931272,cycleway,,,,False,True,0.9894321178340258,,,,,,,"LINESTRING (2.067321 41.2869301, 2.0673321 41.286927)"
2209582615,2209582611,0,210931272,cycleway,,,,False,False,0.9565189195838095,,,,,,,"LINESTRING (2.0673651 41.2869339, 2.0673556 41.2869291)"
2209582720,2209582935,0,210931272,cycleway,,,,False,False,167.76284890017533,,,,,,,"LINESTRING (2.0662961 41.2874386, 2.0646075 41.2882549)"
2209582720,2209582612,0,210931272,cycleway,,,,False,True,102.61685640747697,,,,,,,"LINESTRING (2.0662961 41.2874386, 2.067321 41.2869301)"
2209582935,2209582967,0,210931272,cycleway,,,,False,False,32.052789667083275,,,,,,,"LINESTRING (2.0646075 41.2882549, 2.0642738 41.2883971)"
2209582935,2209582720,0,210931272,cycleway,,,,False,True,167.76284890017533,,,,,,,"LINESTRING (2.0646075 41.2882549, 2.0662961 41.2874386)"
2209582967,2209583090,0,210931272,cycleway,,,,False,False,115.64241315369497,,,,,,,"LINESTRING (2.0642738 41.2883971, 2.0631528 41.2890071)"
2209582967,2209582935,0,210931272,cycleway,,,,False,True,32.052789667083275,,,,,,,"LINESTRING (2.0642738 41.2883971, 2.0646075 41.2882549)"
2209583090,2209582967,0,210931272,cycleway,,,,False,True,115.64241315369497,,,,,,,"LINESTRING (2.0631528 41.2890071, 2.0642738 41.2883971)"
2209583090,2209583139,0,273924482,cycleway,,,,False,True,135.03901150163665,,,,,,,"LINESTRING (2.0631528 41.2890071, 2.0618181 41.289692)"
2209583139,2209583090,0,273924482,cycleway,,,,False,False,135.03901150163665,,,,,,,"LINESTRING (2.0618181 41.289692, 2.0631528 41.2890071)"
2209583139,2209583141,0,273924482,cycleway,,,,False,True,13.052682316454225,,,,,,,"LINESTRING (2.0618181 41.289692, 2.0616881 41.2897571)"
2209583141,2209583139,0,273924482,cycleway,,,,False,False,13.052682316454225,,,,,,,"LINESTRING (2.0616881 41.2897571, 2.0618181 41.289692)"
2209583141,2209583144,0,273924482,cycleway,,,,False,True,5.305790151652157,,,,,,,"LINESTRING (2.0616881 41.2897571, 2.0616404 41.2897886)"
2209583144,2209583141,0,273924482,cycleway,,,,False,False,5.305790151652157,,,,,,,"LINESTRING (2.0616404 41.2897886, 2.0616881 41.2897571)"
2209583144,2209583152,0,273924482,cycleway,,,,False,True,6.348294266047183,,,,,,,"LINESTRING (2.0616404 41.2897886, 2.0615928 41.2898331)"
2209583152,2209583144,0,273924482,cycleway,,,,False,False,6.348294266047183,,,,,,,"LINESTRING (2.0615928 41.2898331, 2.0616404 41.2897886)"
2209583152,2209583153,0,273924482,cycleway,,,,False,True,4.775794903484431,,,,,,,"LINESTRING (2.0615928 41.2898331, 2.0615538 41.2898645)"
2209583153,2209583152,0,273924482,cycleway,,,,False,False,4.775794903484431,,,,,,,"LINESTRING (2.0615538 41.2898645, 2.0615928 41.2898331)"
2209583153,2209583155,0,273924482,cycleway,,,,False,True,7.429862275081694,,,,,,,"LINESTRING (2.0615538 41.2898645, 2.0614888 41.2899101)"
2209583155,2209583153,0,273924482,cycleway,,,,False,False,7.429862275081694,,,,,,,"LINESTRING (2.0614888 41.2899101, 2.0615538 41.2898645)"
2209583155,2209583176,0,273924482,cycleway,,,,False,True,33.26026558064032,,,,,,,"LINESTRING (2.0614888 41.2899101, 2.0611619 41.2900808)"
2209583176,2209583155,0,273924482,cycleway,,,,False,False,33.26026558064032,,,,,,,"LINESTRING (2.0611619 41.2900808, 2.0614888 41.2899101)"
2209583176,7203925276,0,273924482,cycleway,,,,False,True,12.028206528808617,,,,,,,"LINESTRING (2.0611619 41.2900808, 2.0610422 41.2901409)"
2216908689,7788127166,0,210931266,cycleway,,,,False,False,2.117322188155695,,,,,,,"LINESTRING (2.0555017 41.2914954, 2.0555231 41.2914852)"
2216908689,10170339152,0,210931266,cycleway,,,,False,True,1.0219602327957173,,,,,,,"LINESTRING (2.0555017 41.2914954, 2.0554919 41.2915009)"
2216908724,2216977275,0,1111647379,cycleway,,,,False,False,1.801657484004376,,,,,,,"LINESTRING (2.0553676 41.2915775, 2.0553789 41.2915637)"
2216908724,2216977281,0,1111647379,cycleway,,,,False,True,4.792258317388284,,,,,,,"LINESTRING (2.0553676 41.2915775, 2.0553371 41.291614)"
2216977209,7203925276,0,273924482,cycleway,,,,False,False,16.03477232864764,,,,,,,"LINESTRING (2.0608827 41.2902211, 2.0610422 41.2901409)"
2216977209,2216977213,0,273924482,cycleway,,,,False,True,23.33125333732103,,,,,,,"LINESTRING (2.0608827 41.2902211, 2.0606556 41.2903432)"
2216977213,2216977209,0,273924482,cycleway,,,,False,False,23.33125333732103,,,,,,,"LINESTRING (2.0606556 41.2903432, 2.0608827 41.2902211)"
2216977213,2216977224,0,273924482,cycleway,,,,False,True,39.89478230021752,,,,,,,"LINESTRING (2.0606556 41.2903432, 2.0602695 41.2905543)"
2216977224,2216977213,0,273924482,cycleway,,,,False,False,39.89478230021752,,,,,,,"LINESTRING (2.0602695 41.2905543, 2.0606556 41.2903432)"
2216977224,2216977225,0,273924482,cycleway,,,,False,True,8.344817106445017,,,,,,,"LINESTRING (2.0602695 41.2905543, 2.0601966 41.2906056)"
2216977225,2216977224,0,273924482,cycleway,,,,False,False,8.344817106445017,,,,,,,"LINESTRING (2.0601966 41.2906056, 2.0602695 41.2905543)"
2216977225,2216977226,0,273924482,cycleway,,,,False,True,7.262400484398892,,,,,,,"LINESTRING (2.0601966 41.2906056, 2.060132 41.2906493)"
2216977226,2216977225,0,273924482,cycleway,,,,False,False,7.262400484398892,,,,,,,"LINESTRING (2.060132 41.2906493, 2.0601966 41.2906056)"
2216977226,2216977227,0,273924482,cycleway,,,,False,True,7.150055681876223,,,,,,,"LINESTRING (2.060132 41.2906493, 2.060071 41.2906944)"
2216977227,2216977226,0,273924482,cycleway,,,,False,False,7.150055681876223,,,,,,,"LINESTRING (2.060071 41.2906944, 2.060132 41.2906493)"
2216977227,2216977228,0,273924482,cycleway,,,,False,True,8.02493008815898,,,,,,,"LINESTRING (2.060071 41.2906944, 2.0599907 41.290734)"
2216977228,2216977227,0,273924482,cycleway,,,,False,False,8.02493008815898,,,,,,,"LINESTRING (2.0599907 41.290734, 2.060071 41.2906944)"
2216977228,2216977229,0,273924482,cycleway,,,,False,True,16.05374851485489,,,,,,,"LINESTRING (2.0599907 41.290734, 2.0598196 41.2907997)"
2216977229,2216977228,0,273924482,cycleway,,,,False,False,16.05374851485489,,,,,,,"LINESTRING (2.0598196 41.2907997, 2.0599907 41.290734)"
2216977229,2518387893,0,273924482,cycleway,,,,False,True,23.734339836451486,,,,,,,"LINESTRING (2.0598196 41.2907997, 2.0595781 41.2909121)"
2216977230,2216977231,0,934269774,cycleway,,,,False,False,18.659192128530826,,,,,,,"LINESTRING (2.0566537 41.2908354, 2.056877 41.2908383)"
2216977230,2216977233,0,934269774,cycleway,,,,False,True,21.875694671715216,,,,,,,"LINESTRING (2.0566537 41.2908354, 2.0563926 41.2908501)"
2216977231,2216977234,0,934269774,cycleway,,,,False,False,18.702651688910773,,,,,,,"LINESTRING (2.056877 41.2908383, 2.057099 41.2908599)"
2216977231,2216977230,0,934269774,cycleway,,,,False,True,18.659192128530826,,,,,,,"LINESTRING (2.056877 41.2908383, 2.0566537 41.2908354)"
2216977233,2216977230,0,934269774,cycleway,,,,False,False,21.875694671715216,,,,,,,"LINESTRING (2.0563926 41.2908501, 2.0566537 41.2908354)"
2216977233,2216977238,0,934269774,cycleway,,,,False,True,26.192937539658548,,,,,,,"LINESTRING (2.0563926 41.2908501, 2.0560857 41.2908982)"
2216977234,2216977237,0,934269774,cycleway,,,,False,False,17.289749904978894,,,,,,,"LINESTRING (2.057099 41.2908599, 2.0573014 41.2908923)"
2216977234,2216977231,0,934269774,cycleway,,,,False,True,18.702651688910773,,,,,,,"LINESTRING (2.057099 41.2908599, 2.056877 41.2908383)"
2216977237,2216977240,0,934269774,cycleway,,,,False,False,16.318136551301823,,,,,,,"LINESTRING (2.0573014 41.2908923, 2.0574881 41.2909354)"
2216977237,2216977234,0,934269774,cycleway,,,,False,True,17.289749904978894,,,,,,,"LINESTRING (2.0573014 41.2908923, 2.057099 41.2908599)"
2216977238,2216977233,0,934269774,cycleway,,,,False,False,26.192937539658548,,,,,,,"LINESTRING (2.0560857 41.2908982, 2.0563926 41.2908501)"
2216977238,9036217380,0,934269774,cycleway,,,,False,True,32.98483851705016,,,,,,,"LINESTRING (2.0560857 41.2908982, 2.0557064 41.2909805)"
2216977239,2518387893,0,273924482,cycleway,,,,False,False,2.0453218890827007,,,,,,,"LINESTRING (2.0595573 41.2909218, 2.0595781 41.2909121)"
2216977239,2216977249,0,273924482,cycleway,,,,False,True,51.991935518204265,,,,,,,"LINESTRING (2.0595573 41.2909218, 2.0590384 41.2911799)"
2216977240,2216977242,0,934269774,cycleway,,,,False,False,11.328052115751257,,,,,,,"LINESTRING (2.0574881 41.2909354, 2.0576069 41.2909845)"
2216977240,2216977237,0,934269774,cycleway,,,,False,True,16.318136551301823,,,,,,,"LINESTRING (2.0574881 41.2909354, 2.0573014 41.2908923)"
2216977242,2216977244,0,934269774,cycleway,,,,False,False,11.070766130383884,,,,,,,"LINESTRING (2.0576069 41.2909845, 2.0577075 41.2910493)"
2216977242,2216977240,0,934269774,cycleway,,,,False,True,11.328052115751257,,,,,,,"LINESTRING (2.0576069 41.2909845, 2.0574881 41.2909354)"
2216977244,2216977245,0,934269774,cycleway,,,,False,False,11.129849043162007,,,,,,,"LINESTRING (2.0577075 41.2910493, 2.057808 41.291115)"
2216977244,2216977242,0,934269774,cycleway,,,,False,True,11.070766130383884,,,,,,,"LINESTRING (2.0577075 41.2910493, 2.0576069 41.2909845)"
2216977245,2216977251,0,934269774,cycleway,,,,False,False,12.325970626184878,,,,,,,"LINESTRING (2.057808 41.291115, 2.0578901 41.2912071)"
2216977245,2216977244,0,934269774,cycleway,,,,False,True,11.129849043162007,,,,,,,"LINESTRING (2.057808 41.291115, 2.0577075 41.2910493)"
2216977246,10170339154,0,210931266,cycleway,,,,False,False,0.6103387495902968,,,,,,,"LINESTRING (2.0557683 41.2911593, 2.0557664 41.291154)"
2216977246,2216977247,0,210931266,cycleway,,,,False,True,5.086375420399744,,,,,,,"LINESTRING (2.0557683 41.2911593, 2.0557097 41.2911717)"
2216977247,2216977246,0,210931266,cycleway,,,,False,False,5.086375420399744,,,,,,,"LINESTRING (2.0557097 41.2911717, 2.0557683 41.2911593)"
2216977247,2216977248,0,210931266,cycleway,,,,False,True,2.042329613604283,,,,,,,"LINESTRING (2.0557097 41.2911717, 2.0556871 41.2911787)"
2216977248,2216977247,0,210931266,cycleway,,,,False,False,2.042329613604283,,,,,,,"LINESTRING (2.0556871 41.2911787, 2.0557097 41.2911717)"
2216977248,2216977250,0,210931266,cycleway,,,,False,True,2.6313412545069457,,,,,,,"LINESTRING (2.0556871 41.2911787, 2.0556598 41.2911905)"
2216977249,2216977239,0,273924482,cycleway,,,,False,False,51.991935518204265,,,,,,,"LINESTRING (2.0590384 41.2911799, 2.0595573 41.2909218)"
2216977249,2216977260,0,273924482,cycleway,,,,False,True,34.408037173984475,,,,,,,"LINESTRING (2.0590384 41.2911799, 2.0586993 41.2913555)"
2216977250,2216977248,0,210931266,cycleway,,,,False,False,2.6313412545069457,,,,,,,"LINESTRING (2.0556598 41.2911905, 2.0556871 41.2911787)"
2216977250,2216977252,0,210931266,cycleway,,,,False,True,2.440116851100254,,,,,,,"LINESTRING (2.0556598 41.2911905, 2.0556372 41.2912044)"
2216977251,2216977256,0,273924499,cycleway,,,,False,False,9.018062618704736,,,,yes,,,"LINESTRING (2.0578901 41.2912071, 2.0579643 41.291266)"
2216977251,2216977245,0,934269774,cycleway,,,,False,True,12.325970626184878,,,,,,,"LINESTRING (2.0578901 41.2912071, 2.057808 41.291115)"
2216977252,2216977250,0,210931266,cycleway,,,,False,False,2.440116851100254,,,,,,,"LINESTRING (2.0556372 41.2912044, 2.0556598 41.2911905)"
2216977252,2216977253,0,210931266,cycleway,,,,False,True,1.5807966288698494,,,,,,,"LINESTRING (2.0556372 41.2912044, 2.0556243 41.2912148)"
2216977253,2216977252,0,210931266,cycleway,,,,False,False,1.5807966288698494,,,,,,,"LINESTRING (2.0556243 41.2912148, 2.0556372 41.2912044)"
2216977253,2216977254,0,210931266,cycleway,,,,False,True,2.4417491022602067,,,,,,,"LINESTRING (2.0556243 41.2912148, 2.0556063 41.2912321)"
2216977254,2216977253,0,210931266,cycleway,,,,False,False,2.4417491022602067,,,,,,,"LINESTRING (2.0556063 41.2912321, 2.0556243 41.2912148)"
2216977254,2216977255,0,210931266,cycleway,,,,False,True,2.2933443216350655,,,,,,,"LINESTRING (2.0556063 41.2912321, 2.0555929 41.2912501)"
2216977255,2216977254,0,210931266,cycleway,,,,False,False,2.2933443216350655,,,,,,,"LINESTRING (2.0555929 41.2912501, 2.0556063 41.2912321)"
2216977255,2216977257,0,210931266,cycleway,,,,False,True,2.5011941416821055,,,,,,,"LINESTRING (2.0555929 41.2912501, 2.0555841 41.2912716)"
2216977256,2216977259,0,273924499,cycleway,,,,False,False,9.72708100979864,,,,yes,,,"LINESTRING (2.0579643 41.291266, 2.0580511 41.2913243)"
2216977256,2216977251,0,273924499,cycleway,,,,False,True,9.018062618704736,,,,yes,,,"LINESTRING (2.0579643 41.291266, 2.0578901 41.2912071)"
2216977257,2216977255,0,210931266,cycleway,,,,False,False,2.5011941416821055,,,,,,,"LINESTRING (2.0555841 41.2912716, 2.0555929 41.2912501)"
2216977257,2216977258,0,210931266,cycleway,,,,False,True,5.710712118083717,,,,,,,"LINESTRING (2.0555841 41.2912716, 2.0555703 41.2913219)"
2216977258,2216977257,0,210931266,cycleway,,,,False,False,5.710712118083717,,,,,,,"LINESTRING (2.0555703 41.2913219, 2.0555841 41.2912716)"
2216977258,2216977261,0,210931266,cycleway,,,,False,True,4.105094291979576,,,,,,,"LINESTRING (2.0555703 41.2913219, 2.0555583 41.2913577)"
2216977259,2216977262,0,273924499,cycleway,,,,False,False,8.137455472334151,,,,yes,,,"LINESTRING (2.0580511 41.2913243, 2.0581324 41.2913646)"
2216977259,2216977256,0,273924499,cycleway,,,,False,True,9.72708100979864,,,,yes,,,"LINESTRING (2.0580511 41.2913243, 2.0579643 41.291266)"
2216977260,2216977249,0,273924482,cycleway,,,,False,False,34.408037173984475,,,,,,,"LINESTRING (2.0586993 41.2913555, 2.0590384 41.2911799)"
2216977260,2216977264,0,273924482,cycleway,,,,False,True,9.010816990377615,,,,,,,"LINESTRING (2.0586993 41.2913555, 2.0586014 41.2913895)"
2216977261,2216977258,0,210931266,cycleway,,,,False,False,4.105094291979576,,,,,,,"LINESTRING (2.0555583 41.2913577, 2.0555703 41.2913219)"
2216977261,2216977265,0,210931266,cycleway,,,,False,True,3.8240266026288103,,,,,,,"LINESTRING (2.0555583 41.2913577, 2.0555412 41.2913896)"
2216977262,2216977263,0,273924499,cycleway,,,,False,False,5.557316104517946,,,,yes,,,"LINESTRING (2.0581324 41.2913646, 2.0581933 41.2913847)"
2216977262,2216977259,0,273924499,cycleway,,,,False,True,8.137455472334151,,,,yes,,,"LINESTRING (2.0581324 41.2913646, 2.0580511 41.2913243)"
2216977263,2216977266,0,273924499,cycleway,,,,False,False,6.682342962931342,,,,yes,,,"LINESTRING (2.0581933 41.2913847, 2.058269 41.2914041)"
2216977263,2216977262,0,273924499,cycleway,,,,False,True,5.557316104517946,,,,yes,,,"LINESTRING (2.0581933 41.2913847, 2.0581324 41.2913646)"
2216977264,2216977260,0,273924482,cycleway,,,,False,False,9.010816990377615,,,,,,,"LINESTRING (2.0586014 41.2913895, 2.0586993 41.2913555)"
2216977264,2216977267,0,273924482,cycleway,,,,False,True,6.390566810138571,,,,,,,"LINESTRING (2.0586014 41.2913895, 2.0585285 41.2914069)"
2216977265,2216977261,0,210931266,cycleway,,,,False,False,3.8240266026288103,,,,,,,"LINESTRING (2.0555412 41.2913896, 2.0555583 41.2913577)"
2216977265,2216977268,0,210931266,cycleway,,,,False,True,2.949007490997349,,,,,,,"LINESTRING (2.0555412 41.2913896, 2.0555259 41.2914135)"
2216977266,2216977269,0,273924482,cycleway,,,,False,False,6.384057023773369,,,,,,,"LINESTRING (2.058269 41.2914041, 2.0583429 41.2914187)"
2216977266,2216977263,0,273924499,cycleway,,,,False,True,6.682342962931342,,,,yes,,,"LINESTRING (2.058269 41.2914041, 2.0581933 41.2913847)"
2216977267,2216977264,0,273924482,cycleway,,,,False,False,6.390566810138571,,,,,,,"LINESTRING (2.0585285 41.2914069, 2.0586014 41.2913895)"
2216977267,2216977270,0,273924482,cycleway,,,,False,True,7.525957502510939,,,,,,,"LINESTRING (2.0585285 41.2914069, 2.0584398 41.2914187)"
2216977268,2216977265,0,210931266,cycleway,,,,False,False,2.949007490997349,,,,,,,"LINESTRING (2.0555259 41.2914135, 2.0555412 41.2913896)"
2216977268,2216977271,0,210931266,cycleway,,,,False,True,1.8445653129239803,,,,,,,"LINESTRING (2.0555259 41.2914135, 2.0555218 41.2914298)"
2216977269,2216977270,0,273924482,cycleway,,,,False,False,8.095788495497462,,,,,,,"LINESTRING (2.0583429 41.2914187, 2.0584398 41.2914187)"
2216977269,2216977266,0,273924482,cycleway,,,,False,True,6.384057023773369,,,,,,,"LINESTRING (2.0583429 41.2914187, 2.058269 41.2914041)"
2216977270,2216977267,0,273924482,cycleway,,,,False,False,7.525957502510939,,,,,,,"LINESTRING (2.0584398 41.2914187, 2.0585285 41.2914069)"
2216977270,2216977269,0,273924482,cycleway,,,,False,True,8.095788495497462,,,,,,,"LINESTRING (2.0584398 41.2914187, 2.0583429 41.2914187)"
2216977271,2216977268,0,210931266,cycleway,,,,False,False,1.8445653129239803,,,,,,,"LINESTRING (2.0555218 41.2914298, 2.0555259 41.2914135)"
2216977271,2216977272,0,210931266,cycleway,,,,False,True,2.093737316575327,,,,,,,"LINESTRING (2.0555218 41.2914298, 2.0555232 41.2914486)"
2216977272,2216977271,0,210931266,cycleway,,,,False,False,2.093737316575327,,,,,,,"LINESTRING (2.0555232 41.2914486, 2.0555218 41.2914298)"
